Person 1: (21, 109), status: IMMUNE, was infected 56 time(s).
Person 1462: (55, 49), status: SUSCEPTIBLE, was infected 49 time(s).
Person 1463: (88, 2), status: SUSCEPTIBLE, was infected 30 time(s).
Person 1464: (109, 53), status: IMMUNE, was infected 54 time(s).
Person 1465: (40, 82), status: SUSCEPTIBLE, was infected 49 time(s).
Person 1466: (21, 63), status: IMMUNE, was infected 52 time(s).
Person 1467: (107, 11), status: INFECTED, was infected 35 time(s).
Person 1468: (75, 48), status: SUSCEPTIBLE, was infected 47 time(s).
Person 1469: (93, 77), status: IMMUNE, was infected 38 time(s).
Person 1470: (94, 18), status: SUSCEPTIBLE, was infected 47 time(s).
Person 1471: (56, 102), status: SUSCEPTIBLE, was infected 57 time(s).
Person 1472: (72, 49), status: IMMUNE, was infected 60 time(s).
Person 1473: (109, 22), status: IMMUNE, was infected 55 time(s).
Person 1474: (28, 21), status: INFECTED, was infected 52 time(s).
Person 1475: (34, 80), status: INFECTED, was infected 55 time(s).
Person 1476: (87, 23), status: IMMUNE, was infected 57 time(s).
Person 1477: (51, 92), status: SUSCEPTIBLE, was infected 56 time(s).
Person 1478: (39, 109), status: INFECTED, was infected 59 time(s).
Person 1479: (74, 39), status: SUSCEPTIBLE, was infected 57 time(s).
Person 1480: (37, 24), status: SUSCEPTIBLE, was infected 49 time(s).
Person 1481: (22, 37), status: INFECTED, was infected 49 time(s).
Person 1482: (19, 29), status: SUSCEPTIBLE, was infected 52 time(s).
Person 1483: (60, 51), status: INFECTED, was infected 57 time(s).
Person 1484: (4, 74), status: IMMUNE, was infected 53 time(s).
Person 1485: (90, 107), status: INFECTED, was infected 21 time(s).
Person 1486: (49, 37), status: INFECTED, was infected 60 time(s).
Person 1487: (0, 78), status: IMMUNE, was infected 57 time(s).
Person 1488: (99, 51), status: SUSCEPTIBLE, was infected 53 time(s).
Person 1489: (60, 39), status: INFECTED, was infected 58 time(s).
Person 1490: (0, 58), status: IMMUNE, was infected 63 time(s).
Person 1491: (91, 81), status: SUSCEPTIBLE, was infected 46 time(s).
Person 1492: (65, 11), status: IMMUNE, was infected 58 time(s).
Person 1493: (92, 1), status: IMMUNE, was infected 61 time(s).
Person 1494: (88, 74), status: INFECTED, was infected 60 time(s).
Person 1495: (39, 89), status: IMMUNE, was infected 43 time(s).
Person 1496: (109, 105), status: IMMUNE, was infected 60 time(s).
Person 1497: (47, 0), status: IMMUNE, was infected 54 time(s).
Person 1498: (56, 10), status: SUSCEPTIBLE, was infected 58 time(s).
Person 1499: (63, 81), status: SUSCEPTIBLE, was infected 55 time(s).
Person 1500: (29, 65), status: IMMUNE, was infected 55 time(s).
Person 1501: (50, 25), status: IMMUNE, was infected 57 time(s).
Person 1502: (56, 1), status: IMMUNE, was infected 62 time(s).
Person 1503: (81, 18), status: SUSCEPTIBLE, was infected 54 time(s).
Person 1504: (82, 44), status: IMMUNE, was infected 57 time(s).
Person 1505: (109, 55), status: IMMUNE, was infected 61 time(s).
Person 1506: (80, 21), status: INFECTED, was infected 56 time(s).
Person 1507: (40, 25), status: SUSCEPTIBLE, was infected 54 time(s).
Person 1508: (67, 78), status: IMMUNE, was infected 60 time(s).
Person 1509: (13, 80), status: SUSCEPTIBLE, was infected 59 time(s).
Person 1510: (40, 51), status: INFECTED, was infected 54 time(s).
Person 1511: (13, 87), status: IMMUNE, was infected 55 time(s).
Person 1512: (87, 90), status: SUSCEPTIBLE, was infected 47 time(s).
Person 1513: (0, 84), status: IMMUNE, was infected 61 time(s).
Person 1514: (51, 87), status: IMMUNE, was infected 48 time(s).
Person 1515: (6, 54), status: INFECTED, was infected 52 time(s).
Person 1516: (84, 19), status: IMMUNE, was infected 57 time(s).
Person 1517: (87, 97), status: IMMUNE, was infected 34 time(s).
Person 1518: (50, 70), status: INFECTED, was infected 46 time(s).
Person 1519: (50, 25), status: IMMUNE, was infected 57 time(s).
Person 1520: (81, 107), status: INFECTED, was infected 30 time(s).
Person 1521: (0, 76), status: SUSCEPTIBLE, was infected 50 time(s).
Person 1522: (0, 59), status: IMMUNE, was infected 53 time(s).
Person 1523: (48, 102), status: INFECTED, was infected 57 time(s).
Person 1524: (53, 78), status: IMMUNE, was infected 55 time(s).
Person 1525: (65, 72), status: IMMUNE, was infected 48 time(s).
Person 1526: (50, 91), status: INFECTED, was infected 51 time(s).
Person 1527: (65, 108), status: INFECTED, was infected 47 time(s).
Person 1528: (74, 30), status: INFECTED, was infected 51 time(s).
Person 1529: (62, 3), status: SUSCEPTIBLE, was infected 46 time(s).
Person 1530: (11, 37), status: SUSCEPTIBLE, was infected 48 time(s).
Person 1531: (84, 63), status: INFECTED, was infected 55 time(s).
Person 1532: (93, 57), status: INFECTED, was infected 53 time(s).
Person 1533: (49, 21), status: SUSCEPTIBLE, was infected 62 time(s).
Person 1534: (52, 48), status: IMMUNE, was infected 56 time(s).
Person 1535: (55, 1), status: INFECTED, was infected 55 time(s).
Person 1536: (29, 14), status: SUSCEPTIBLE, was infected 58 time(s).
Person 1537: (51, 12), status: IMMUNE, was infected 50 time(s).
Person 1538: (60, 53), status: SUSCEPTIBLE, was infected 58 time(s).
Person 1539: (57, 10), status: IMMUNE, was infected 50 time(s).
Person 1540: (36, 0), status: INFECTED, was infected 58 time(s).
Person 1541: (109, 73), status: IMMUNE, was infected 59 time(s).
Person 1542: (68, 0), status: INFECTED, was infected 69 time(s).
Person 1543: (10, 50), status: IMMUNE, was infected 42 time(s).
Person 1544: (0, 58), status: IMMUNE, was infected 64 time(s).
Person 1545: (32, 18), status: IMMUNE, was infected 57 time(s).
Person 1546: (44, 47), status: SUSCEPTIBLE, was infected 59 time(s).
Person 1547: (102, 27), status: SUSCEPTIBLE, was infected 56 time(s).
Person 1548: (19, 53), status: IMMUNE, was infected 60 time(s).
Person 1549: (88, 109), status: SUSCEPTIBLE, was infected 54 time(s).
Person 1550: (24, 27), status: INFECTED, was infected 51 time(s).
Person 1551: (47, 99), status: IMMUNE, was infected 42 time(s).
Person 1552: (35, 55), status: SUSCEPTIBLE, was infected 53 time(s).
Person 1553: (0, 95), status: SUSCEPTIBLE, was infected 52 time(s).
Person 1554: (69, 4), status: IMMUNE, was infected 58 time(s).
Person 1555: (84, 30), status: SUSCEPTIBLE, was infected 52 time(s).
Person 1556: (92, 92), status: IMMUNE, was infected 58 time(s).
Person 1557: (25, 11), status: INFECTED, was infected 51 time(s).
Person 1558: (31, 9), status: SUSCEPTIBLE, was infected 44 time(s).
Person 1559: (43, 82), status: SUSCEPTIBLE, was infected 55 time(s).
Person 1560: (19, 40), status: INFECTED, was infected 58 time(s).
Person 1561: (67, 28), status: IMMUNE, was infected 57 time(s).
Person 1562: (42, 42), status: SUSCEPTIBLE, was infected 58 time(s).
Person 1563: (69, 48), status: IMMUNE, was infected 59 time(s).
Person 1564: (100, 104), status: IMMUNE, was infected 56 time(s).
Person 1565: (32, 6), status: INFECTED, was infected 48 time(s).
Person 1566: (104, 0), status: SUSCEPTIBLE, was infected 59 time(s).
Person 1567: (38, 109), status: IMMUNE, was infected 48 time(s).
Person 1568: (25, 70), status: SUSCEPTIBLE, was infected 66 time(s).
Person 1569: (25, 0), status: INFECTED, was infected 65 time(s).
Person 1570: (96, 25), status: SUSCEPTIBLE, was infected 57 time(s).
Person 1571: (92, 71), status: INFECTED, was infected 54 time(s).
Person 1572: (88, 70), status: INFECTED, was infected 61 time(s).
Person 1573: (8, 30), status: SUSCEPTIBLE, was infected 41 time(s).
Person 1574: (79, 32), status: INFECTED, was infected 50 time(s).
Person 1575: (95, 4), status: SUSCEPTIBLE, was infected 44 time(s).
Person 1576: (7, 3), status: SUSCEPTIBLE, was infected 47 time(s).
Person 1577: (28, 44), status: IMMUNE, was infected 53 time(s).
Person 1578: (31, 44), status: INFECTED, was infected 53 time(s).
Person 1579: (0, 67), status: INFECTED, was infected 50 time(s).
Person 1580: (45, 86), status: INFECTED, was infected 45 time(s).
Person 1581: (47, 108), status: INFECTED, was infected 60 time(s).
Person 1582: (28, 0), status: INFECTED, was infected 56 time(s).
Person 1583: (16, 56), status: IMMUNE, was infected 41 time(s).
Person 1584: (55, 51), status: IMMUNE, was infected 58 time(s).
Person 1585: (1, 87), status: INFECTED, was infected 58 time(s).
Person 1586: (38, 93), status: INFECTED, was infected 59 time(s).
Person 1587: (0, 28), status: SUSCEPTIBLE, was infected 60 time(s).
Person 1588: (69, 41), status: SUSCEPTIBLE, was infected 57 time(s).
Person 1589: (97, 4), status: SUSCEPTIBLE, was infected 43 time(s).
Person 1590: (36, 30), status: INFECTED, was infected 62 time(s).
Person 1591: (72, 63), status: INFECTED, was infected 54 time(s).
Person 1592: (81, 62), status: SUSCEPTIBLE, was infected 44 time(s).
Person 1593: (26, 46), status: IMMUNE, was infected 58 time(s).
Person 1594: (75, 69), status: IMMUNE, was infected 56 time(s).
Person 1595: (4, 62), status: INFECTED, was infected 52 time(s).
Person 1596: (89, 34), status: INFECTED, was infected 58 time(s).
Person 1597: (31, 0), status: SUSCEPTIBLE, was infected 61 time(s).
Person 1598: (0, 80), status: INFECTED, was infected 70 time(s).
Person 1599: (22, 18), status: SUSCEPTIBLE, was infected 55 time(s).
Person 1600: (34, 76), status: SUSCEPTIBLE, was infected 52 time(s).
Person 1601: (69, 57), status: INFECTED, was infected 55 time(s).
Person 1602: (12, 66), status: IMMUNE, was infected 36 time(s).
Person 1603: (69, 0), status: SUSCEPTIBLE, was infected 59 time(s).
Person 1604: (79, 10), status: INFECTED, was infected 61 time(s).
Person 1605: (65, 7), status: SUSCEPTIBLE, was infected 55 time(s).
Person 1606: (97, 98), status: SUSCEPTIBLE, was infected 42 time(s).
Person 1607: (60, 0), status: IMMUNE, was infected 54 time(s).
Person 1608: (13, 41), status: SUSCEPTIBLE, was infected 52 time(s).
Person 1609: (109, 6), status: IMMUNE, was infected 53 time(s).
Person 1610: (0, 32), status: INFECTED, was infected 57 time(s).
Person 1611: (85, 36), status: SUSCEPTIBLE, was infected 40 time(s).
Person 1612: (71, 74), status: INFECTED, was infected 53 time(s).
Person 1613: (0, 34), status: SUSCEPTIBLE, was infected 56 time(s).
Person 1614: (49, 58), status: IMMUNE, was infected 49 time(s).
Person 1615: (90, 20), status: INFECTED, was infected 47 time(s).
Person 1616: (2, 70), status: IMMUNE, was infected 37 time(s).
Person 1617: (21, 72), status: INFECTED, was infected 58 time(s).
Person 1618: (0, 37), status: SUSCEPTIBLE, was infected 53 time(s).
Person 1619: (66, 10), status: SUSCEPTIBLE, was infected 53 time(s).
Person 1620: (82, 0), status: INFECTED, was infected 50 time(s).
Person 1621: (0, 38), status: INFECTED, was infected 54 time(s).
Person 1622: (75, 27), status: INFECTED, was infected 53 time(s).
Person 1623: (27, 32), status: INFECTED, was infected 57 time(s).
Person 1624: (13, 81), status: IMMUNE, was infected 57 time(s).
Person 1625: (75, 96), status: IMMUNE, was infected 47 time(s).
Person 1626: (95, 45), status: IMMUNE, was infected 42 time(s).
Person 1627: (92, 69), status: INFECTED, was infected 53 time(s).
Person 1628: (65, 103), status: INFECTED, was infected 26 time(s).
Person 1629: (96, 9), status: SUSCEPTIBLE, was infected 47 time(s).
Person 1630: (44, 53), status: INFECTED, was infected 54 time(s).
Person 1631: (103, 0), status: SUSCEPTIBLE, was infected 20 time(s).
Person 1632: (0, 1), status: IMMUNE, was infected 67 time(s).
Person 1633: (43, 0), status: SUSCEPTIBLE, was infected 60 time(s).
Person 1634: (100, 91), status: IMMUNE, was infected 52 time(s).
Person 1635: (27, 90), status: SUSCEPTIBLE, was infected 47 time(s).
Person 1636: (105, 13), status: SUSCEPTIBLE, was infected 44 time(s).
Person 1637: (75, 9), status: INFECTED, was infected 53 time(s).
Person 1638: (56, 65), status: IMMUNE, was infected 50 time(s).
Person 1639: (108, 94), status: IMMUNE, was infected 46 time(s).
Person 1640: (0, 5), status: IMMUNE, was infected 49 time(s).
Person 1641: (76, 7), status: IMMUNE, was infected 59 time(s).
Person 1642: (23, 0), status: INFECTED, was infected 48 time(s).
Person 1643: (53, 69), status: SUSCEPTIBLE, was infected 58 time(s).
Person 1644: (34, 49), status: IMMUNE, was infected 59 time(s).
Person 1645: (63, 44), status: SUSCEPTIBLE, was infected 54 time(s).
Person 1646: (28, 73), status: INFECTED, was infected 53 time(s).
Person 1647: (37, 109), status: INFECTED, was infected 54 time(s).
Person 1648: (60, 43), status: INFECTED, was infected 57 time(s).
Person 1649: (96, 41), status: INFECTED, was infected 54 time(s).
Person 1650: (27, 101), status: SUSCEPTIBLE, was infected 34 time(s).
Person 1651: (61, 76), status: INFECTED, was infected 53 time(s).
Person 1652: (25, 68), status: IMMUNE, was infected 60 time(s).
Person 1653: (0, 67), status: IMMUNE, was infected 56 time(s).
Person 1654: (43, 67), status: SUSCEPTIBLE, was infected 48 time(s).
Person 1655: (25, 82), status: SUSCEPTIBLE, was infected 53 time(s).
Person 1656: (25, 1), status: SUSCEPTIBLE, was infected 54 time(s).
Person 1657: (43, 27), status: INFECTED, was infected 46 time(s).
Person 1658: (91, 45), status: INFECTED, was infected 44 time(s).
Person 1659: (0, 103), status: SUSCEPTIBLE, was infected 33 time(s).
Person 1660: (56, 45), status: IMMUNE, was infected 58 time(s).
Person 1661: (68, 48), status: IMMUNE, was infected 49 time(s).
Person 1662: (109, 61), status: IMMUNE, was infected 56 time(s).
Person 1663: (80, 79), status: INFECTED, was infected 50 time(s).
Person 1664: (24, 7), status: SUSCEPTIBLE, was infected 52 time(s).
Person 1665: (7, 70), status: INFECTED, was infected 52 time(s).
Person 1666: (44, 12), status: IMMUNE, was infected 56 time(s).
Person 1667: (17, 0), status: IMMUNE, was infected 51 time(s).
Person 1668: (4, 14), status: IMMUNE, was infected 47 time(s).
Person 1669: (98, 3), status: INFECTED, was infected 57 time(s).
Person 1670: (109, 47), status: SUSCEPTIBLE, was infected 53 time(s).
Person 1671: (3, 13), status: SUSCEPTIBLE, was infected 48 time(s).
Person 1672: (73, 15), status: SUSCEPTIBLE, was infected 56 time(s).
Person 1673: (64, 75), status: IMMUNE, was infected 60 time(s).
Person 1674: (46, 19), status: IMMUNE, was infected 56 time(s).
Person 1675: (91, 36), status: SUSCEPTIBLE, was infected 46 time(s).
Person 1676: (84, 79), status: SUSCEPTIBLE, was infected 54 time(s).
Person 1677: (76, 98), status: INFECTED, was infected 57 time(s).
Person 1678: (109, 39), status: IMMUNE, was infected 58 time(s).
Person 1679: (105, 6), status: SUSCEPTIBLE, was infected 35 time(s).
Person 1680: (90, 1), status: SUSCEPTIBLE, was infected 52 time(s).
Person 1681: (14, 58), status: INFECTED, was infected 60 time(s).
Person 1682: (69, 17), status: INFECTED, was infected 43 time(s).
Person 1683: (46, 2), status: SUSCEPTIBLE, was infected 36 time(s).
Person 1684: (33, 31), status: INFECTED, was infected 52 time(s).
Person 1685: (2, 0), status: IMMUNE, was infected 40 time(s).
Person 1686: (73, 83), status: IMMUNE, was infected 56 time(s).
Person 1687: (18, 0), status: SUSCEPTIBLE, was infected 57 time(s).
Person 1688: (26, 0), status: IMMUNE, was infected 57 time(s).
Person 1689: (93, 24), status: IMMUNE, was infected 52 time(s).
Person 1690: (101, 0), status: INFECTED, was infected 49 time(s).
Person 1691: (50, 44), status: SUSCEPTIBLE, was infected 53 time(s).
Person 1692: (27, 58), status: SUSCEPTIBLE, was infected 44 time(s).
Person 1693: (55, 89), status: INFECTED, was infected 52 time(s).
Person 1694: (81, 80), status: IMMUNE, was infected 52 time(s).
Person 1695: (13, 73), status: INFECTED, was infected 54 time(s).
Person 1696: (109, 6), status: IMMUNE, was infected 54 time(s).
Person 1697: (50, 54), status: IMMUNE, was infected 60 time(s).
Person 1698: (25, 56), status: IMMUNE, was infected 59 time(s).
Person 1699: (109, 58), status: SUSCEPTIBLE, was infected 53 time(s).
Person 1700: (4, 75), status: IMMUNE, was infected 54 time(s).
Person 1701: (56, 37), status: IMMUNE, was infected 52 time(s).
Person 1702: (33, 77), status: IMMUNE, was infected 47 time(s).
Person 1703: (93, 80), status: IMMUNE, was infected 61 time(s).
Person 1704: (31, 72), status: SUSCEPTIBLE, was infected 54 time(s).
Person 1705: (68, 0), status: SUSCEPTIBLE, was infected 60 time(s).
Person 1706: (10, 64), status: INFECTED, was infected 50 time(s).
Person 1707: (29, 40), status: INFECTED, was infected 57 time(s).
Person 1708: (70, 8), status: IMMUNE, was infected 46 time(s).
Person 1709: (47, 95), status: SUSCEPTIBLE, was infected 49 time(s).
Person 1710: (45, 95), status: INFECTED, was infected 56 time(s).
Person 1711: (88, 32), status: INFECTED, was infected 60 time(s).
Person 1712: (88, 68), status: IMMUNE, was infected 46 time(s).
Person 1713: (80, 76), status: SUSCEPTIBLE, was infected 55 time(s).
Person 1714: (46, 108), status: SUSCEPTIBLE, was infected 47 time(s).
Person 1715: (92, 28), status: SUSCEPTIBLE, was infected 54 time(s).
Person 1716: (0, 72), status: INFECTED, was infected 55 time(s).
Person 1717: (99, 101), status: SUSCEPTIBLE, was infected 47 time(s).
Person 1718: (73, 35), status: IMMUNE, was infected 53 time(s).
Person 1719: (46, 26), status: IMMUNE, was infected 48 time(s).
Person 1720: (80, 12), status: SUSCEPTIBLE, was infected 54 time(s).
Person 1721: (71, 52), status: SUSCEPTIBLE, was infected 47 time(s).
Person 1722: (63, 109), status: IMMUNE, was infected 60 time(s).
Person 1723: (56, 109), status: SUSCEPTIBLE, was infected 60 time(s).
Person 1724: (77, 98), status: SUSCEPTIBLE, was infected 48 time(s).
Person 1725: (13, 58), status: IMMUNE, was infected 55 time(s).
Person 1726: (37, 99), status: SUSCEPTIBLE, was infected 52 time(s).
Person 1727: (86, 28), status: SUSCEPTIBLE, was infected 48 time(s).
Person 1728: (79, 64), status: SUSCEPTIBLE, was infected 53 time(s).
Person 1729: (25, 104), status: INFECTED, was infected 55 time(s).
Person 1730: (13, 109), status: IMMUNE, was infected 51 time(s).
Person 1731: (89, 23), status: IMMUNE, was infected 40 time(s).
Person 1732: (19, 56), status: IMMUNE, was infected 60 time(s).
Person 1733: (53, 9), status: SUSCEPTIBLE, was infected 57 time(s).
Person 1734: (78, 25), status: IMMUNE, was infected 51 time(s).
Person 1735: (77, 78), status: SUSCEPTIBLE, was infected 53 time(s).
Person 1736: (7, 23), status: SUSCEPTIBLE, was infected 47 time(s).
Person 1737: (37, 102), status: INFECTED, was infected 61 time(s).
Person 1738: (3, 50), status: INFECTED, was infected 47 time(s).
Person 1739: (95, 42), status: SUSCEPTIBLE, was infected 51 time(s).
Person 1740: (86, 98), status: SUSCEPTIBLE, was infected 55 time(s).
Person 1741: (98, 0), status: SUSCEPTIBLE, was infected 57 time(s).
Person 1742: (17, 0), status: SUSCEPTIBLE, was infected 51 time(s).
Person 1743: (7, 30), status: INFECTED, was infected 60 time(s).
Person 1744: (76, 0), status: SUSCEPTIBLE, was infected 59 time(s).
Person 1745: (58, 0), status: INFECTED, was infected 56 time(s).
Person 1746: (53, 109), status: IMMUNE, was infected 57 time(s).
Person 1747: (39, 50), status: IMMUNE, was infected 43 time(s).
Person 1748: (72, 27), status: SUSCEPTIBLE, was infected 52 time(s).
Person 1749: (96, 80), status: INFECTED, was infected 62 time(s).
Person 1750: (80, 108), status: INFECTED, was infected 55 time(s).
Person 1751: (71, 0), status: IMMUNE, was infected 46 time(s).
Person 1752: (36, 83), status: INFECTED, was infected 56 time(s).
Person 1753: (80, 12), status: IMMUNE, was infected 53 time(s).
Person 1754: (14, 63), status: IMMUNE, was infected 50 time(s).
Person 1755: (76, 71), status: INFECTED, was infected 39 time(s).
Person 1756: (102, 22), status: IMMUNE, was infected 45 time(s).
Person 1757: (69, 92), status: INFECTED, was infected 52 time(s).
Person 1758: (99, 59), status: IMMUNE, was infected 58 time(s).
Person 1759: (54, 23), status: INFECTED, was infected 44 time(s).
Person 1760: (0, 58), status: IMMUNE, was infected 61 time(s).
Person 1761: (81, 93), status: SUSCEPTIBLE, was infected 52 time(s).
Person 1762: (97, 11), status: SUSCEPTIBLE, was infected 43 time(s).
Person 1763: (28, 53), status: IMMUNE, was infected 47 time(s).
Person 1764: (25, 6), status: INFECTED, was infected 56 time(s).
Person 1765: (1, 0), status: INFECTED, was infected 61 time(s).
Person 1766: (45, 16), status: INFECTED, was infected 54 time(s).
Person 1767: (7, 79), status: SUSCEPTIBLE, was infected 50 time(s).
Person 1768: (36, 82), status: SUSCEPTIBLE, was infected 56 time(s).
Person 1769: (23, 50), status: SUSCEPTIBLE, was infected 49 time(s).
Person 1770: (68, 9), status: INFECTED, was infected 46 time(s).
Person 1771: (12, 22), status: SUSCEPTIBLE, was infected 37 time(s).
Person 1772: (34, 109), status: INFECTED, was infected 48 time(s).
Person 1773: (13, 43), status: SUSCEPTIBLE, was infected 55 time(s).
Person 1774: (102, 109), status: INFECTED, was infected 60 time(s).
Person 1775: (14, 69), status: INFECTED, was infected 50 time(s).
Person 1776: (42, 55), status: INFECTED, was infected 62 time(s).
Person 1777: (83, 3), status: SUSCEPTIBLE, was infected 49 time(s).
Person 1778: (38, 1), status: IMMUNE, was infected 56 time(s).
Person 1779: (68, 50), status: IMMUNE, was infected 57 time(s).
Person 1780: (76, 3), status: INFECTED, was infected 51 time(s).
Person 1781: (56, 11), status: INFECTED, was infected 59 time(s).
Person 1782: (5, 5), status: IMMUNE, was infected 49 time(s).
Person 1783: (36, 25), status: IMMUNE, was infected 51 time(s).
Person 1784: (60, 15), status: SUSCEPTIBLE, was infected 50 time(s).
Person 1785: (0, 49), status: INFECTED, was infected 59 time(s).
Person 1786: (84, 92), status: IMMUNE, was infected 52 time(s).
Person 1787: (86, 63), status: SUSCEPTIBLE, was infected 59 time(s).
Person 1788: (109, 0), status: IMMUNE, was infected 66 time(s).
Person 1789: (46, 53), status: INFECTED, was infected 58 time(s).
Person 1790: (88, 13), status: INFECTED, was infected 50 time(s).
Person 1791: (56, 34), status: SUSCEPTIBLE, was infected 51 time(s).
Person 1792: (37, 103), status: SUSCEPTIBLE, was infected 35 time(s).
Person 1793: (96, 103), status: SUSCEPTIBLE, was infected 42 time(s).
Person 1794: (52, 25), status: IMMUNE, was infected 58 time(s).
Person 1795: (49, 6), status: SUSCEPTIBLE, was infected 41 time(s).
Person 1796: (89, 11), status: INFECTED, was infected 53 time(s).
Person 1797: (105, 13), status: SUSCEPTIBLE, was infected 53 time(s).
Person 1798: (32, 20), status: SUSCEPTIBLE, was infected 48 time(s).
Person 1799: (20, 45), status: INFECTED, was infected 42 time(s).
Person 1800: (108, 53), status: INFECTED, was infected 58 time(s).
Person 1801: (48, 36), status: SUSCEPTIBLE, was infected 54 time(s).
Person 1802: (0, 0), status: INFECTED, was infected 66 time(s).
Person 1803: (87, 10), status: INFECTED, was infected 45 time(s).
Person 1804: (0, 49), status: INFECTED, was infected 58 time(s).
Person 1805: (0, 94), status: INFECTED, was infected 61 time(s).
Person 1806: (69, 34), status: INFECTED, was infected 58 time(s).
Person 1807: (80, 44), status: SUSCEPTIBLE, was infected 58 time(s).
Person 1808: (76, 76), status: INFECTED, was infected 60 time(s).
Person 1809: (13, 76), status: INFECTED, was infected 51 time(s).
Person 1810: (16, 46), status: IMMUNE, was infected 52 time(s).
Person 1811: (21, 109), status: SUSCEPTIBLE, was infected 54 time(s).
Person 1812: (6, 109), status: SUSCEPTIBLE, was infected 47 time(s).
Person 1813: (48, 43), status: INFECTED, was infected 53 time(s).
Person 1814: (37, 90), status: INFECTED, was infected 53 time(s).
Person 1815: (78, 78), status: IMMUNE, was infected 53 time(s).
Person 1816: (38, 100), status: IMMUNE, was infected 51 time(s).
Person 1817: (70, 39), status: IMMUNE, was infected 60 time(s).
Person 1818: (17, 24), status: SUSCEPTIBLE, was infected 51 time(s).
Person 1819: (71, 95), status: INFECTED, was infected 54 time(s).
Person 1820: (53, 32), status: SUSCEPTIBLE, was infected 64 time(s).
Person 1821: (45, 79), status: INFECTED, was infected 63 time(s).
Person 1822: (18, 44), status: INFECTED, was infected 56 time(s).
Person 1823: (108, 51), status: IMMUNE, was infected 48 time(s).
Person 1824: (0, 58), status: INFECTED, was infected 60 time(s).
Person 1825: (13, 78), status: IMMUNE, was infected 63 time(s).
Person 1826: (36, 109), status: SUSCEPTIBLE, was infected 55 time(s).
Person 1827: (37, 81), status: INFECTED, was infected 57 time(s).
Person 1828: (13, 35), status: SUSCEPTIBLE, was infected 61 time(s).
Person 1829: (43, 33), status: INFECTED, was infected 54 time(s).
Person 1830: (20, 21), status: SUSCEPTIBLE, was infected 43 time(s).
Person 1831: (50, 17), status: SUSCEPTIBLE, was infected 47 time(s).
Person 1832: (63, 54), status: SUSCEPTIBLE, was infected 62 time(s).
Person 1833: (109, 11), status: INFECTED, was infected 52 time(s).
Person 1834: (0, 11), status: IMMUNE, was infected 56 time(s).
Person 1835: (10, 70), status: INFECTED, was infected 46 time(s).
Person 1836: (100, 68), status: SUSCEPTIBLE, was infected 47 time(s).
Person 1837: (88, 95), status: INFECTED, was infected 50 time(s).
Person 1838: (15, 74), status: SUSCEPTIBLE, was infected 51 time(s).
Person 1839: (69, 109), status: SUSCEPTIBLE, was infected 54 time(s).
Person 1840: (0, 11), status: INFECTED, was infected 47 time(s).
Person 1841: (85, 69), status: INFECTED, was infected 58 time(s).
Person 1842: (77, 47), status: SUSCEPTIBLE, was infected 49 time(s).
Person 1843: (24, 74), status: IMMUNE, was infected 55 time(s).
Person 1844: (109, 1), status: INFECTED, was infected 53 time(s).
Person 1845: (108, 78), status: IMMUNE, was infected 56 time(s).
Person 1846: (78, 109), status: SUSCEPTIBLE, was infected 56 time(s).
Person 1847: (21, 32), status: SUSCEPTIBLE, was infected 60 time(s).
Person 1848: (64, 39), status: SUSCEPTIBLE, was infected 60 time(s).
Person 1849: (25, 64), status: INFECTED, was infected 56 time(s).
Person 1850: (90, 66), status: INFECTED, was infected 60 time(s).
Person 1851: (2, 109), status: INFECTED, was infected 49 time(s).
Person 1852: (109, 102), status: SUSCEPTIBLE, was infected 55 time(s).
Person 1853: (96, 32), status: INFECTED, was infected 56 time(s).
Person 1854: (102, 34), status: SUSCEPTIBLE, was infected 61 time(s).
Person 1855: (17, 13), status: IMMUNE, was infected 59 time(s).
Person 1856: (5, 60), status: SUSCEPTIBLE, was infected 53 time(s).
Person 1857: (11, 32), status: IMMUNE, was infected 53 time(s).
Person 1858: (56, 81), status: IMMUNE, was infected 45 time(s).
Person 1859: (81, 89), status: IMMUNE, was infected 57 time(s).
Person 1860: (0, 9), status: INFECTED, was infected 55 time(s).
Person 1861: (30, 18), status: INFECTED, was infected 53 time(s).
Person 1862: (28, 108), status: SUSCEPTIBLE, was infected 50 time(s).
Person 1863: (90, 70), status: IMMUNE, was infected 50 time(s).
Person 1864: (92, 10), status: IMMUNE, was infected 60 time(s).
Person 1865: (50, 4), status: SUSCEPTIBLE, was infected 46 time(s).
Person 1866: (19, 99), status: SUSCEPTIBLE, was infected 59 time(s).
Person 1867: (51, 45), status: IMMUNE, was infected 57 time(s).
Person 1868: (78, 46), status: SUSCEPTIBLE, was infected 53 time(s).
Person 1869: (66, 44), status: IMMUNE, was infected 49 time(s).
Person 1870: (63, 0), status: IMMUNE, was infected 54 time(s).
Person 1871: (44, 0), status: INFECTED, was infected 60 time(s).
Person 1872: (83, 83), status: INFECTED, was infected 45 time(s).
Person 1873: (63, 109), status: INFECTED, was infected 52 time(s).
Person 1874: (5, 44), status: INFECTED, was infected 53 time(s).
Person 1875: (20, 89), status: SUSCEPTIBLE, was infected 42 time(s).
Person 1876: (64, 71), status: SUSCEPTIBLE, was infected 45 time(s).
Person 1877: (23, 37), status: SUSCEPTIBLE, was infected 50 time(s).
Person 1878: (27, 72), status: SUSCEPTIBLE, was infected 52 time(s).
